;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
следование;1.576835e-06;2.3027847e-06;4.4559532e-05;9.32231e-07;4.0172695e-06;9.370424e-07;8.887618e-07;1.1349629e-06;0.0001297992;1.4729978e-05;1.1576581e-06;4.0462733e-06;5.9630715e-05;1.300085e-06;4.433099e-06;3.8767237e-05;3.5175085e-06;2.3485193e-06;8.5549885e-07
бронирование;1.2422851e-06;1.4620871e-06;0.0008453543;1.8182426e-06;4.399303e-07;7.219895e-08;1.3463886e-06;1.1133143e-06;1.0483911e-06;3.6104557e-05;2.4525557e-06;5.3424026e-07;2.2195627e-06;4.4447134e-07;6.841187e-07;2.9467153e-06;1.9665065e-06;1.7311653e-07;1.2805856e-06
разведчик;0.00016657238;2.0920972e-06;1.9921054e-06;3.778127e-07;5.4005375e-07;2.1675164e-06;3.5537353e-06;6.5806375e-07;5.619134e-06;0.0008863288;1.2301167e-06;6.015602e-07;1.6899171e-06;1.876595e-06;5.953444e-07;1.632286e-06;1.1012255e-06;7.0357015e-07;1.4174534e-06
наделять;2.9668186e-06;6.60064e-07;2.591348e-06;1.2657381e-06;2.0931154e-06;3.2796913e-06;1.7945727e-06;6.078409e-07;2.2676024e-06;2.8444947e-06;0.00028161926;2.2834447e-06;5.744551e-05;2.757674e-06;2.3899913e-06;7.50917e-05;5.085129e-06;1.1380149e-06;2.2657453e-06
сотрудничество;0.00026804366;3.6710867e-06;0.00081076036;0.00026368702;0.00013971979;0.00022402934;0.002475331;7.3277592e-06;4.4042563e-06;0.00048161537;0.00010820951;0.00016888835;2.1735428e-05;1.0677322e-05;0.00016925094;0.0011912503;1.6502292e-05;6.783933e-05;0.00014218198
гастроль;1.0286968e-06;2.8847933e-06;1.8404785e-06;4.3567005e-07;1.9324987e-06;8.73575e-05;1.0492817e-06;1.5566113e-06;5.6995807e-05;2.2879688e-06;1.859702e-06;1.7880009e-06;1.8231681e-06;1.4964158e-06;1.5336799e-06;0.00013025831;5.6671644e-05;1.5509107e-05;2.5114314e-06
джоана;9.965946e-07;1.4869524e-06;1.2825044e-06;4.7282697e-07;6.9255844e-07;2.1267972e-06;5.24135e-07;1.1147263e-06;9.404748e-05;1.2537238e-06;3.4903633e-07;6.6184435e-07;2.6877822e-06;1.5109798e-06;6.0091105e-07;0.00013592198;2.9635863e-05;4.108966e-06;9.2575704e-07
будапешт;1.4999601e-06;5.4941484e-07;0.00012802609;1.7609655e-06;2.4888548e-06;4.106478e-06;0.00015599045;3.2179048e-06;2.6098874e-06;1.2676993e-05;1.2712314e-06;2.7990266e-06;1.8955328e-05;1.3925189e-06;3.3968595e-06;7.595908e-05;2.352366e-06;1.1720172e-06;5.6591364e-07
автоматически;2.058639e-06;3.1623063e-06;7.847988e-06;1.9173578e-05;1.5828764e-05;1.1562865e-05;0.00021762212;5.8577166e-06;2.308876e-06;3.7392424e-06;9.989703e-05;1.683628e-05;3.4049346e-05;0.0003570042;1.771874e-05;1.51903805e-05;0.00020954286;2.250232e-05;6.5452964e-06
голль;1.3421022e-06;1.3924349e-06;1.9399954e-06;7.832427e-07;3.2955415e-07;3.7881495e-07;1.1462188e-06;7.874061e-07;1.6281979e-06;0.00021974894;7.5281986e-07;4.1738815e-07;1.4335235e-06;6.2709626e-07;3.748843e-07;1.5575337e-06;1.8496412e-06;9.535568e-07;7.935346e-07
уклонение;1.1122112e-06;2.3229024e-06;1.6820368e-06;1.7273187e-06;1.0325647e-06;2.095906e-06;1.3142064e-06;9.345686e-07;1.6641158e-06;4.7038434e-06;6.120663e-05;1.2804604e-06;1.216075e-06;2.6915636e-06;9.168088e-07;1.2362465e-06;2.268018e-06;3.996311e-06;0.0003755244
односторонний;4.0033894e-05;6.242889e-06;3.1149215e-05;1.7628576e-06;3.9492584e-06;1.9818315e-06;0.0003384811;2.163828e-06;1.840019e-06;0.000116564726;2.2481481e-06;4.530518e-06;1.3658989e-05;2.188927e-06;4.6861414e-06;2.1482488e-06;1.6256196e-06;3.0257102e-06;2.0533746e-06
обсуждать;0.00070293975;2.473882e-06;0.00019328193;0.00017801591;0.00035208443;0.00081140565;0.0015076473;1.2394373e-05;5.486826e-06;2.4530702e-05;0.00048047182;0.0003527175;1.591545e-05;0.0007475771;0.00036510982;5.997942e-06;0.0003302661;0.0010679386;5.1646107e-06
избирательный;2.1685184e-06;6.1557836e-07;1.2781003e-06;8.4691146e-07;2.0522363e-07;6.288513e-06;1.383151e-06;1.7125208e-06;2.7226283e-06;2.7171104e-06;5.3127033e-06;1.69056e-07;1.466844e-06;0.0028364616;1.5676808e-07;2.3099583e-06;4.5502082e-07;6.382467e-07;3.3079807e-06
обнародоваться;0.00039272153;1.0272519e-06;2.5591986e-05;0.0001656917;6.882042e-05;0.0002601481;1.6526807e-05;4.239326e-06;6.745411e-06;7.435198e-05;0.00025633804;5.825133e-05;5.8697856e-06;0.00031489364;5.5553253e-05;0.00010630015;2.5090778e-05;4.2687974e-05;4.4526014e-06
ходатайство;1.9646518e-06;0.0002285893;7.632847e-07;8.463439e-07;5.084747e-07;2.1968908e-06;1.3299668e-06;2.178122e-06;4.9849423e-06;1.5892111e-06;4.559007e-06;6.495156e-07;5.0179364e-07;1.9774366e-06;3.620408e-07;7.6416495e-07;7.189996e-07;6.663797e-06;0.0014207063
подвоз;1.1912e-06;9.275581e-07;7.643679e-07;7.2633316e-07;4.2329276e-07;2.3220482e-06;1.4211112e-06;1.4847228e-06;2.8265804e-06;1.070934e-06;1.8507494e-06;4.5039056e-07;1.4889434e-06;0.000396225;3.8755985e-07;1.2282543e-06;9.774934e-07;2.5486545e-06;3.2118419e-06
поставляться;2.9437588e-05;1.3299664e-06;0.00031070964;3.38731e-06;2.181383e-06;7.2638437e-07;1.0582533e-05;8.9490936e-07;2.6784937e-06;0.00037707773;4.1433223e-06;2.7109413e-06;1.9483632e-05;1.2045537e-06;3.5651678e-06;1.5050142e-05;3.2048333e-06;3.5720748e-07;9.456342e-07
появляться;7.581147e-05;9.038916e-06;3.2912587e-06;1.0592231e-05;0.00015818843;3.0088493e-05;4.9438586e-06;2.078884e-05;0.00022740767;3.9901665e-06;5.0624814e-05;0.00016248727;0.0003142925;3.2267824e-05;0.0001453466;0.00042303116;0.0015110895;0.00035868768;6.014045e-06
безвизовый;3.8037638e-06;8.123326e-07;8.081962e-05;1.8331413e-06;6.038339e-07;3.0530755e-06;0.0015571392;1.537347e-06;3.5587402e-06;1.7318935e-06;3.7640277e-06;6.129448e-07;1.1066429e-06;2.0426562e-06;6.8311857e-07;2.6676696e-07;1.0400929e-06;3.6787156e-07;8.794004e-07
молодой;7.322785e-06;0.0021618225;1.799518e-06;2.9783805e-06;0.00014113757;4.2045135e-06;1.4613089e-07;1.8590752e-05;0.0016700141;3.5242795e-06;1.9184088e-05;0.00018354839;0.0007775917;9.3047325e-05;0.00010043645;0.00059803494;0.00095481804;0.00054669083;7.7159075e-06
ситуация;0.00085362117;2.0636624e-05;0.00040493216;0.002224272;0.004008265;0.0010970045;0.0034173578;6.518445e-05;1.8468825e-05;0.0007781353;0.00041508055;0.004224881;2.046985e-05;0.0012449428;0.0037627125;4.2746506e-06;8.685447e-05;0.0045796665;3.0721927e-05
sciences;8.8334235e-07;4.3651667e-07;1.8770598e-06;9.282867e-07;3.7051748e-07;4.587024e-07;9.4811605e-07;7.9299775e-07;1.9449212e-06;2.0773193e-06;1.3246074e-06;4.6819318e-07;0.00057883916;1.1361203e-06;5.3385514e-07;2.079156e-06;2.346339e-06;5.3431717e-07;6.3585526e-07
трудность;0.000105126295;3.323627e-06;0.00021505129;0.00047284167;0.00026714304;6.6632724e-06;6.8130284e-05;1.5412136e-06;1.6197364e-05;2.0922158e-05;7.233546e-05;0.0002878125;0.00016195928;4.645618e-06;0.0002978095;9.6125674e-05;9.497459e-05;7.044803e-05;1.07481765e-05
royal;3.0342535e-06;7.614365e-07;8.187287e-05;1.9831514e-05;2.7943051e-06;3.2983937e-07;1.5519909e-06;1.0842075e-06;3.7488555e-06;4.2943808e-05;2.9108187e-06;3.60826e-06;0.00031321807;1.3945842e-06;4.429871e-06;1.4898129e-05;2.5602283e-06;6.792844e-07;1.073811e-06
сотня;0.0006402962;6.22872e-05;2.7307362e-05;7.004246e-06;0.00065423053;1.0403389e-05;6.4287024e-06;5.255453e-06;0.0003135807;1.1629674e-05;1.188988e-05;0.0006393321;0.0010723068;5.6515983e-05;0.0005872819;0.0002310765;0.0007117058;0.00010880265;1.8323986e-05
гора;2.1893262e-05;1.2614068e-05;4.5158816e-07;3.42269e-07;1.3753495e-05;3.9171155e-05;0.00023041958;2.0601935e-06;0.0015659931;4.204115e-06;5.4437936e-07;1.605238e-05;0.00017721178;7.821077e-06;1.689526e-05;6.0632126e-05;1.2331741e-05;1.2289401e-05;5.8588574e-07
запрещаться;1.2967957e-06;1.557267e-06;1.3394044e-06;1.4799641e-06;1.5749822e-06;3.7712891e-06;2.1002522e-06;1.2143834e-06;1.8350264e-06;1.5459144e-06;0.00016510565;1.8377553e-06;1.6589817e-06;0.00014039587;1.5017068e-06;9.90754e-07;1.8083527e-06;4.595846e-06;0.000103300044
оживлять;3.867384e-05;6.4214174e-07;3.3169902e-06;5.1453826e-05;1.249687e-06;3.3521976e-06;7.861864e-06;1.0641724e-06;2.3307737e-06;2.0864543e-06;5.2792984e-06;1.2264235e-06;2.9894636e-06;1.9044171e-06;1.2547519e-06;0.0002340884;3.814802e-06;1.4023101e-06;1.0184095e-06
меняться;3.6563347e-06;1.944912e-06;3.858854e-05;9.296493e-05;1.9449362e-05;4.917572e-06;8.240188e-05;1.5646244e-06;6.18136e-06;9.882254e-05;2.2885843e-05;1.9480061e-05;0.00053501024;8.483071e-06;2.495366e-05;0.0002942876;0.00011162677;7.519872e-06;8.407542e-07
плавать;1.9403487e-06;1.8877286e-06;4.473035e-06;0.00016146712;1.9834197e-06;1.8483398e-06;9.540224e-07;1.0316535e-06;0.00018278089;3.626174e-05;1.70248e-06;1.8032914e-06;3.4601546e-06;1.5687838e-06;1.969558e-06;2.5215677e-05;6.1113215e-06;2.674089e-06;9.94324e-07
продюсер;1.1295546e-06;1.3302491e-06;2.0832574e-06;5.19127e-07;7.5047285e-07;1.5225613e-05;1.3939327e-06;1.3602927e-06;4.428107e-06;1.7674894e-06;1.0930195e-06;6.5954833e-07;2.359931e-06;1.136898e-05;5.8209866e-07;0.0016191195;0.0001664106;8.9810055e-06;3.2030935e-06
самолёт;0.0019185937;3.8414914e-06;2.1007803e-05;4.291327e-06;8.884921e-06;2.9915349e-05;9.6538475e-05;4.5505453e-06;1.0973815e-05;0.016196195;1.5566312e-07;1.3750698e-05;6.6029074e-06;4.5315846e-06;1.32650985e-05;2.2304023e-06;2.689797e-07;3.3596423e-06;7.2551745e-07
биржевой;1.2488063e-06;1.4751474e-06;3.818502e-06;0.0003254546;4.309184e-07;1.0191404e-06;1.2285317e-06;1.2853543e-06;1.2921975e-06;8.235038e-07;4.8089646e-06;4.7592366e-07;1.2297504e-06;1.7675069e-06;4.4303545e-07;1.4587146e-06;1.3593432e-06;9.002284e-07;1.5787815e-05
турецкий;0.0025444836;2.5922009e-06;0.000211693;6.23364e-06;7.480941e-06;5.4280234e-05;0.0053672604;0.00014769513;2.6355974e-06;1.521007e-05;2.687068e-06;7.78821e-06;1.4727901e-06;4.169435e-06;6.2782688e-06;4.283853e-06;2.3340262e-06;2.2124602e-06;1.24966355e-05
признаваться;1.4684829e-05;0.00052794785;2.033666e-05;2.041811e-06;0.00030791946;0.00047584946;8.21405e-06;0.0003937446;0.00088418764;6.2261715e-06;6.8169047e-06;0.00026243943;7.637227e-06;4.3327844e-05;0.00020821617;0.0006311049;0.00070703425;0.0020192391;2.744868e-05
корректировать;1.0503945e-06;6.6783576e-07;4.2669503e-06;1.7222157e-05;2.9438716e-06;2.5330396e-06;4.0332857e-06;8.7664586e-07;2.1393096e-06;1.8917417e-06;9.9228055e-05;3.4526006e-06;2.8983679e-05;2.197924e-06;3.591708e-06;2.8130402e-05;7.385992e-05;6.4316546e-06;1.5266269e-06
начальник;0.00060825376;0.0012657032;1.0280517e-06;1.2184167e-06;9.063795e-06;0.00013761854;7.928394e-06;1.6106387e-06;7.870561e-06;0.00036351313;0.00011110021;1.4008347e-05;6.510341e-07;2.0569352e-05;8.439275e-06;1.2446089e-06;1.477454e-06;2.6973057e-05;0.0017362913
фронтовой;4.7985864e-06;1.0851101e-06;1.991731e-06;1.0036282e-06;5.914904e-07;3.3585466e-06;0.00024580327;9.1781754e-07;9.1635843e-07;9.147037e-05;1.7729652e-06;7.060491e-07;1.8411632e-06;1.4191851e-06;7.143322e-07;1.7086368e-06;7.394781e-07;1.9619229e-06;9.3979764e-07
неприкосновенность;2.8733777e-05;9.358468e-06;8.0982403e-07;1.0158848e-06;1.8200708e-06;1.9458437e-06;2.1755477e-06;1.2749576e-06;2.8824368e-06;2.1150993e-06;1.1534468e-05;2.091282e-06;1.6473481e-06;7.318634e-05;1.5037934e-06;1.4721828e-06;2.1634585e-06;6.2167555e-06;9.055435e-05
пятеро;9.303624e-06;0.0007824224;1.3957241e-06;3.6384762e-07;2.18052e-06;1.5811632e-06;8.7029247e-07;6.518203e-05;0.000228855;2.2765832e-06;5.9770935e-07;2.3407918e-06;2.6864343e-06;3.744611e-06;1.8590422e-06;4.0189343e-06;3.922961e-06;8.961524e-06;5.7452573e-05
граница;0.00245491;1.6994347e-05;0.0006253407;9.17537e-06;0.00023985171;0.00044745381;0.0028055906;2.0866682e-06;2.6681215e-05;0.00063644507;0.0002758803;0.00020133388;0.00026251894;0.00026463068;0.00020739531;5.304126e-06;2.864843e-06;1.534356e-05;0.00085723196
отказ;4.3624925e-05;9.345603e-05;2.7302725e-05;9.4576e-05;0.0011378683;4.4319266e-05;0.00032284032;8.978685e-06;2.1083211e-05;1.5639456e-05;0.0005370942;0.0012343774;7.2760176e-06;0.00041145732;0.0008232184;3.5945634e-06;9.833518e-06;0.0029999446;0.0005794387
объяснять;1.5172939e-05;5.387245e-05;1.0065087e-05;2.8475535e-05;0.0010907972;0.000516952;0.00034614067;1.365213e-05;0.0009741076;1.3672069e-05;7.984418e-05;0.0010956591;0.0011304537;0.00020656546;0.0009812963;1.0867786e-05;0.0007174037;0.005812124;0.00021446818
ботинок;8.607987e-07;1.8303107e-06;4.5500788e-06;6.063355e-07;6.712936e-07;1.552007e-06;4.2661642e-07;9.251634e-07;9.171996e-05;1.7644965e-06;4.0710196e-07;6.171492e-07;2.2612815e-06;1.0600749e-06;6.4103625e-07;0.00036268085;3.9999945e-06;1.193568e-06;7.228102e-07
