;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
timmon;2.9771507e-27;1.0780749e-05;9.638627e-27;1.0362028e-09;2.1050615e-33;1.3635518e-10;1.34207714e-11;2.776898e-30;4.1188428e-11;0.0003391255;8.5626235e-11;1.2224499e-18;2.9936176e-28;1.2108061e-06;8.28906e-40;1.17020065e-08
province;4.2606627e-11;2.1858434e-05;1.9693465e-07;0.00028158093;4.5690335e-08;8.127494e-05;0.00020603833;1.0005551e-09;6.8205874e-05;5.5012624e-05;6.0591134e-05;4.323433e-11;5.0252115e-08;2.0502505e-07;2.0443198e-09;0.00040695188
oscar;5.002273e-10;0.0002830815;1.4568564e-08;1.726669e-05;8.46662e-14;1.0921901e-05;4.9604096e-06;1.7643002e-10;9.019895e-06;4.6110683e-05;3.227195e-05;3.713178e-13;3.2538098e-12;0.00045651267;4.9872135e-15;5.8568075e-05
lehigh;2.2745431e-26;1.0721098e-05;3.4456172e-28;2.5220575e-07;8.704896e-17;3.8934824e-09;3.0354513e-10;3.0934e-41;6.335285e-08;0.0003598382;1.221832e-08;3.1322013e-27;1.1789908e-28;3.652003e-10;2.4082261e-33;5.768634e-09
impress;2.5212882e-08;4.704585e-05;7.2546205e-09;7.404141e-05;1.2991837e-10;0.00025698112;5.2959243e-05;4.5725188e-11;0.00014308731;5.6508303e-05;6.755724e-05;1.2655269e-07;1.915221e-09;1.01324645e-07;2.1230695e-13;0.00012173003
champ;1.24346e-25;0.00041803997;3.5539564e-05;1.1470493e-05;3.6623777e-11;4.012042e-08;2.5919435e-06;7.5187176e-19;5.58623e-07;8.70117e-05;4.752225e-09;9.650013e-23;4.01449e-18;3.469596e-11;6.415159e-20;7.3175465e-07
theserial;1.3900609e-26;1.2667369e-05;8.946176e-23;2.821567e-06;7.153519e-24;1.5100478e-07;6.519719e-08;1.9963567e-32;3.5081157e-06;7.251843e-05;3.7532388e-08;8.980217e-26;1.5971115e-23;9.1716124e-14;2.9264426e-32;8.949978e-07
sheffield;5.1708802e-12;0.00024272696;1.9207804e-09;4.449071e-06;9.92573e-13;5.341641e-06;2.7529524e-07;1.11268975e-14;6.1220676e-06;5.3557193e-05;8.341482e-06;1.4143972e-12;9.006052e-12;4.467184e-05;5.584288e-14;2.4987101e-05
sarto;1.370123e-20;1.8213339e-06;1.4397901e-23;2.6977207e-09;8.83523e-18;2.4526721e-11;1.0993843e-14;3.1032105e-38;2.7994072e-09;0.000471585;5.090415e-09;5.0018357e-31;1.6247645e-38;1.7308026e-17;4.7e-42;5.3600324e-09
treasury;3.0675465e-15;3.496429e-05;3.6455223e-09;0.00011475444;4.1126495e-12;3.6231577e-06;5.0539747e-06;7.6600435e-14;2.0140063e-05;5.485352e-05;2.8922004e-05;1.2204227e-11;7.517726e-11;3.023703e-07;5.827644e-14;9.048486e-05
crony;2.6756158e-24;3.7446996e-05;3.9358506e-06;0.00025806838;6.787189e-26;1.4397584e-06;0.00040589678;0.00053490076;2.8233904e-05;8.810611e-05;4.037283e-05;3.2858294e-10;0.00011565717;8.452382e-06;4.6412797e-06;0.00012380564
velocity;1.179415e-10;4.6028515e-05;5.199454e-07;3.4303743e-05;8.0505264e-10;0.00011214454;0.0001148467;1.1047213e-11;0.0007851488;3.646339e-05;2.197955e-05;3.7745688e-12;1.14649076e-07;1.7507512e-07;6.568558e-08;2.1842368e-05
easily;1.1635298e-08;2.8165552e-05;2.6740474e-06;0.00020478241;7.07205e-06;0.000107740925;4.4681765e-05;1.5289178e-06;0.00015247305;5.3595002e-05;0.00018920678;1.749915e-05;3.4272023e-05;2.3055817e-08;2.8598144e-05;4.1967134e-05
honesty;9.727799e-12;2.1667482e-05;3.2174478e-07;0.00013826849;1.5885365e-09;2.6829044e-05;5.856025e-05;2.4723779e-08;3.0472716e-05;4.9400267e-05;0.00016944832;2.3084956e-09;1.6758015e-06;4.9964164e-08;7.5964387e-13;7.392537e-05
nurse;1.2573055e-12;2.7499538e-05;1.5566529e-09;8.984311e-05;4.4594408e-11;0.00015529111;1.5503845e-05;9.4685124e-14;3.995689e-05;5.614917e-05;5.044376e-05;5.254878e-10;5.2112217e-11;2.0141302e-07;6.045185e-11;3.1792526e-05
alarm;3.897565e-14;5.550925e-05;1.993239e-09;0.00015089156;7.5436046e-11;2.6175803e-05;9.1279886e-05;4.7570867e-12;0.00014761277;4.19614e-05;3.228419e-05;1.0782705e-12;6.042e-07;1.4533421e-07;1.3616709e-12;3.432085e-05
